rank,name,country_name,country_id,active,value
1,Guillermo Perez Roldan,Argentina,ARG,false,46.64%
2,Guillermo Coria,Argentina,ARG,false,45.77%
3,Franco Davin,Argentina,ARG,false,45.60%
4,Olivier Mutis,France,FRA,false,45.53%
5,Horacio De La Pena,Argentina,ARG,false,45.49%
6,Sergi Bruguera,Spain,ESP,false,44.89%
7,Rafael Nadal,Spain,ESP,true,44.87%
8,Thomas Muster,Austria,AUT,false,44.74%
9,Felix Mantilla,Spain,ESP,false,44.55%
10,Marcos Ondruska,South Africa,RSA,false,44.55%
11,Roberto Carretero,Spain,ESP,false,44.49%
12,Novak Djokovic,Serbia,SRB,true,44.47%
13,David Nainkin,South Africa,RSA,false,44.35%
14,Andrei Chesnokov,Russian Federation,RUS,false,44.31%
15,Alberto Berasategui,Spain,ESP,false,44.24%
16,David Nalbandian,Argentina,ARG,false,44.21%
17,Filippo Volandri,Italy,ITA,false,44.18%
18,Roberto Carballes Baena,Spain,ESP,true,44.04%
19,Jordi Arrese,Spain,ESP,false,43.97%
20,Tomas Carbonell,Spain,ESP,false,43.93%
21,Michael Chang,United States,USA,false,43.92%
22,Bart Wuyts,Belgium,BEL,false,43.87%
23,Santiago Ventura,Spain,ESP,false,43.72%
24,Nikolay Davydenko,Russian Federation,RUS,false,43.69%
25,David Ferrer,Spain,ESP,false,43.66%
26,Diego Sebastian Schwartzman,Argentina,ARG,true,43.64%
27,Mark Knowles,Bahamas,BAH,false,43.64%
28,Carlos Costa,Spain,ESP,false,43.62%
29,Goran Prpic,Croatia,CRO,false,43.61%
30,Juan Antonio Marin,Costa Rica,CRC,false,43.56%
31,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,43.48%
32,Andy Murray,United Kingdom,GBR,true,43.48%
33,Christian Bergstrom,Sweden,SWE,false,43.44%
34,Andre Agassi,United States,USA,false,43.44%
35,Arnaud Di Pasquale,France,FRA,false,43.29%
36,Brad Gilbert,United States,USA,false,43.29%
37,Stefan Edberg,Sweden,SWE,false,43.28%
38,Gabriel Markus,Argentina,ARG,false,43.25%
39,Karol Kucera,Slovakia,SVK,false,43.23%
40,Magnus Gustafsson,Sweden,SWE,false,43.21%
41,Lleyton Hewitt,Australia,AUS,false,43.16%
42,Jonas Svensson,Sweden,SWE,false,43.12%
43,Fabio Fognini,Italy,ITA,true,43.08%
44,Ruben Ramirez Hidalgo,Spain,ESP,false,43.06%
45,Alexander Volkov,Russian Federation,RUS,false,43.03%
46,Flavio Saretta,Brazil,BRA,false,42.98%
47,Gilbert Schaller,Austria,AUT,false,42.97%
48,Jiri Novak,Czech Republic,CZE,false,42.95%
49,Jaime Yzaga,Peru,PER,false,42.92%
50,Filip Dewulf,Belgium,BEL,false,42.91%
51,Gilad Bloom,Israel,ISR,false,42.83%
52,Hernan Gumy,Argentina,ARG,false,42.83%
53,Steve Campbell,United States,USA,false,42.83%
