USA,Aaron Krickstein,0.677,N
FRA,Adrian Mannarino,0.535,A
ROU,Adrian Voinea,0.556,N
ARG,Agustin Calleri,0.605,N
ESP,Albert Costa,0.653,N
ESP,Albert Montanes,0.568,N
ESP,Albert Portas,0.614,N
ESP,Albert Ramos,0.571,A
ESP,Alberto Berasategui,0.733,N
ARG,Alberto Mancini,0.561,N
ESP,Alberto Martin,0.612,N
COL,Alejandro Falla,0.547,N
AUT,Alex Antonitsch,0.545,N
RUS,Alex Bogomolov Jr,0.557,N
ESP,Alex Calatrava,0.511,N
ESP,Alex Corretja,0.685,N
USA,Alex Obrien,0.51,N
GER,Alex Radulescu,0.44,N
GER,Alexander Mronz,0.469,N
GER,Alexander Popp,0.517,N
RUS,Alexander Volkov,0.595,N
GER,Alexander Waske,0.338,N
GER,Alexander Zverev,0.567,A
UKR,Alexandr Dolgopolov,0.552,A
GBR,Aljaz Bedene,0.524,A
BIH,Amer Delic,0.402,N
ISR,Amos Mansdorf,0.596,N
SWE,Anders Jarryd,0.62,N
USA,Andre Agassi,0.73,N
BRA,Andre Sa,0.604,N
ITA,Andrea Gaudenzi,0.665,N
GER,Andreas Beck,0.49,N
AUT,Andreas Haider Maurer,0.458,A
ITA,Andreas Seppi,0.573,A
SWE,Andreas Vinciguerra,0.545,N
RUS,Andrei Cherkasov,0.632,N
RUS,Andrei Chesnokov,0.698,N
UKR,Andrei Medvedev,0.658,N
RUS,Andrei Olhovskiy,0.527,N
ROU,Andrei Pavel,0.588,N
RUS,Andrei Stoliarov,0.601,N
ECU,Andres Gomez,0.6,N
AUS,Andrew Ilie,0.57,N
KAZ,Andrey Golubev,0.474,N
RUS,Andrey Kuznetsov,0.582,A
RUS,Andrey Rublev,0.579,A
GBR,Andy Murray,0.727,A
USA,Andy Roddick,0.522,N
FRA,Antony Dupuis,0.457,N
FRA,Arnaud Boetsch,0.631,N
FRA,Arnaud Clement,0.596,N
FRA,Arnaud Di Pasquale,0.617,N
GER,Benjamin Becker,0.455,N
FRA,Benoit Paire,0.589,A
AUS,Bernard Tomic,0.478,A
GER,Bernd Karbacher,0.604,N
GER,Bjorn Phau,0.536,N
SLO,Blaz Kavcic,0.562,A
USA,Bobby Reynolds,0.451,N
CZE,Bohdan Ulihrach,0.638,N
GER,Boris Becker,0.592,N
CRO,Borna Coric,0.545,A
USA,Brad Gilbert,0.614,N
NZL,Brett Steven,0.596,N
USA,Bryan Shelton,0.462,N
ZIM,Byron Black,0.629,N
GER,Carl Uwe Steeb,0.56,N
ARG,Carlos Berlocq,0.617,A
ESP,Carlos Costa,0.713,N
ESP,Carlos Moya,0.626,N
PHI,Cecil Mamiit,0.596,N
