USA,Aaron Krickstein,0.626,N
FRA,Adrian Mannarino,0.608,A
ROU,Adrian Voinea,0.627,N
ARG,Agustin Calleri,0.535,N
ESP,Albert Costa,0.565,N
ESP,Albert Montanes,0.609,N
ESP,Albert Portas,0.689,N
ESP,Albert Ramos,0.604,A
ESP,Alberto Berasategui,0.672,N
ARG,Alberto Mancini,0.632,N
ESP,Alberto Martin,0.697,N
COL,Alejandro Falla,0.663,N
AUT,Alex Antonitsch,0.663,N
RUS,Alex Bogomolov Jr,0.668,N
ESP,Alex Calatrava,0.612,N
ESP,Alex Corretja,0.584,N
USA,Alex Obrien,0.605,N
GER,Alex Radulescu,0.46,N
GER,Alexander Mronz,0.58,N
GER,Alexander Popp,0.617,N
RUS,Alexander Volkov,0.619,N
GER,Alexander Waske,0.486,N
GER,Alexander Zverev,0.471,A
UKR,Alexandr Dolgopolov,0.513,A
GBR,Aljaz Bedene,0.551,A
BIH,Amer Delic,0.564,N
ISR,Amos Mansdorf,0.579,N
SWE,Anders Jarryd,0.56,N
USA,Andre Agassi,0.453,N
BRA,Andre Sa,0.719,N
ITA,Andrea Gaudenzi,0.665,N
GER,Andreas Beck,0.586,N
AUT,Andreas Haider Maurer,0.636,A
ITA,Andreas Seppi,0.59,A
SWE,Andreas Vinciguerra,0.661,N
RUS,Andrei Cherkasov,0.686,N
RUS,Andrei Chesnokov,0.719,N
UKR,Andrei Medvedev,0.592,N
RUS,Andrei Olhovskiy,0.554,N
ROU,Andrei Pavel,0.569,N
RUS,Andrei Stoliarov,0.707,N
ECU,Andres Gomez,0.63,N
AUS,Andrew Ilie,0.649,N
KAZ,Andrey Golubev,0.632,N
RUS,Andrey Kuznetsov,0.567,A
RUS,Andrey Rublev,0.629,A
GBR,Andy Murray,0.478,A
USA,Andy Roddick,0.305,N
FRA,Antony Dupuis,0.559,N
FRA,Arnaud Boetsch,0.572,N
FRA,Arnaud Clement,0.595,N
FRA,Arnaud Di Pasquale,0.664,N
GER,Benjamin Becker,0.506,N
FRA,Benoit Paire,0.635,A
AUS,Bernard Tomic,0.517,A
GER,Bernd Karbacher,0.656,N
GER,Bjorn Phau,0.67,N
SLO,Blaz Kavcic,0.709,A
USA,Bobby Reynolds,0.619,N
CZE,Bohdan Ulihrach,0.662,N
GER,Boris Becker,0.414,N
CRO,Borna Coric,0.519,A
USA,Brad Gilbert,0.613,N
NZL,Brett Steven,0.581,N
USA,Bryan Shelton,0.52,N
ZIM,Byron Black,0.623,N
GER,Carl Uwe Steeb,0.622,N
ARG,Carlos Berlocq,0.68,A
ESP,Carlos Costa,0.632,N
ESP,Carlos Moya,0.545,N
PHI,Cecil Mamiit,0.716,N
FRA,Cedric Pioline,0.534,N
AUS,Chris Guccione,0.423,N
USA,Chris Woodruff,0.574,N
SWE,Christian Bergstrom,0.644,N
NOR,Christian Ruud,0.712,N
RSA,Christo Van Rensburg,0.617,N
BEL,Christophe Rochus,0.733,N
USA,Chuck Adams,0.532,N
ITA,Cristiano Caratti,0.696,N
FRA,Cyril Saulnier,0.529,N
BIH,Damir Dzumhur,0.66,A
GER,Daniel Brands,0.479,A
ESP,Daniel Gimeno Traver,0.613,A
CAN,Daniel Nestor,0.507,N
CZE,Daniel Vacek,0.548,N
ITA,Daniele Bracciali,0.542,N
RUS,Daniil Medvedev,0.581,A
ESP,David Ferrer,0.56,A
BEL,David Goffin,0.564,A
ARG,David Nalbandian,0.558,N
GER,David Prinosil,0.611,N
ZE,David Rikl,0.746,N
ESP,David Sanchez,0.729,N
USA,David Wheaton,0.555,N
ITA,Davide Sanguinetti,0.64,N
GER,Denis Gremelmayr,0.73,N
UZB,Denis Istomin,0.532,A
USA,Denis Kudla,0.608,A
NED,Dennis Van Scheppingen,0.631,N
USA,Derrick Rostagno,0.577,N
BEL,Dick Norman,0.55,N
ITA,Diego Nargiso,0.632,N
ARG,Diego Sebastian Schwartzman,0.654,A
RUS,Dmitry Tursunov,0.557,N
AUT,Dominic Thiem,0.465,A
SVK,Dominik Hrbaty,0.596,N
USA,Donald Young,0.657,A
ISR,Dudi Sela,0.645,A
SRB,Dusan Lajovic,0.559,A
GER,Dustin Brown,0.536,A
FRA,Edouard Roger Vasselin,0.557,N
ARG,Eduardo Schwank,0.596,N
ESP,Emilio Benfele Alvarez,0.678,N
ESP,Emilio Sanchez,0.598,N
LAT,Ernests Gulbis,0.513,A
RUS,Evgeny Donskoy,0.606,A
KAZ,Evgeny Korolev,0.63,N
ITA,Fabio Fognini,0.653,A
FRA,Fabrice Santoro,0.669,N
ARG,Federico Delbonis,0.567,A
ESP,Feliciano Lopez,0.468,A
ESP,Felix Mantilla,0.62,N
CHI,Fernando Gonzalez,0.472,N
BRA,Fernando Meligeni,0.645,N
ESP,Fernando Verdasco,0.521,A
ESP,Fernando Vicente,0.7,N
BEL,Filip Dewulf,0.63,N
ITA,Filippo Volandri,0.731,N
TA,Flavio Cipolla,0.871,N
BRA,Flavio Saretta,0.71,N
FRA,Florent Serra,0.64,N
GER,Florian Mayer,0.578,A
USA,Francis Tiafoe,0.51,A
ESP,Francisco Clavet,0.635,N
ESP,Francisco Roig,0.736,N
RG,Franco Davin,0.76,N
ARG,Franco Squillari,0.676,N
CAN,Frank Dancevic,0.545,N
POR,Frederico Gil,0.677,N
ARG,Gabriel Markus,0.661,N
FRA,Gael Monfils,0.499,A
ESP,Galo Blanco,0.675,N
ARG,Gaston Gaudio,0.649,N
SUI,George Bastl,0.661,N
ITA,Gianluca Pozzi,0.655,N
AUT,Gilbert Schaller,0.72,N
LUX,Gilles Muller,0.452,A
FRA,Gilles Simon,0.596,A
JPN,Go Soeda,0.646,A
CRO,Goran Ivanisevic,0.422,N
CRO,Goran Prpic,0.65,N
RSA,Grant Stafford,0.706,N
GBR,Greg Rusedski,0.399,N
FRA,Gregory Carraz,0.509,N
BUL,Grigor Dimitrov,0.457,A
ARG,Guido Pella,0.595,A
FRA,Guillaume Raoux,0.551,N
ARG,Guillermo Canas,0.576,N
ARG,Guillermo Coria,0.599,N
