rank,name,country_name,country_id,active,value
1,Flavio Cipolla,Italy,ITA,false,0.871
2,Maximo Gonzalez,Argentina,ARG,false,0.812
3,Jean Rene Lisnard,Monaco,MON,false,0.786
4,Juan Antonio Marin,Costa Rica,CRC,false,0.778
5,Franco Davin,Argentina,ARG,false,0.760
6,Jan Hajek,Czech Republic,CZE,false,0.756
7,David Rikl,Czech Republic,CZE,false,0.746
8,Marcos Aurelio Gorriz,Spain,ESP,false,0.742
9,Jacobo Diaz,Spain,ESP,false,0.740
10,Francisco Roig,Spain,ESP,false,0.736
11,Christophe Rochus,Belgium,BEL,false,0.734
12,Tomas Carbonell,Spain,ESP,false,0.733
13,Horacio De La Pena,Argentina,ARG,false,0.733
14,Filippo Volandri,Italy,ITA,false,0.731
15,Denis Gremelmayr,Germany,GER,false,0.730
16,David Sanchez,Spain,ESP,false,0.729
17,Marcos Ondruska,South Africa,RSA,false,0.727
18,Paul Goldstein,United States,USA,false,0.727
19,Lars Jonsson,Sweden,SWE,false,0.725
20,Ruben Ramirez Hidalgo,Spain,ESP,false,0.724
21,Oliver Gross,Germany,GER,false,0.724
22,Irakli Labadze,Georgia,GEO,false,0.722
23,Jesse Levine,Canada,CAN,false,0.721
24,Gilbert Schaller,Austria,AUT,false,0.720
25,Ryan Sweeting,United States,USA,false,0.720
26,Jordi Arrese,Spain,ESP,false,0.719
27,Andrei Chesnokov,Russian Federation,RUS,false,0.719
28,Andre Sa,Brazil,BRA,false,0.719
29,Santiago Ventura,Spain,ESP,false,0.718
30,Nuno Marques,Portugal,POR,false,0.717
31,Cecil Mamiit,Philippines,PHI,false,0.714
32,Mauricio Hadad,Colombia,COL,false,0.713
33,Christian Ruud,Norway,NOR,false,0.712
34,Jaime Oncins,Brazil,BRA,false,0.712
35,Martin Vassallo Arguello,Argentina,ARG,false,0.710
36,Flavio Saretta,Brazil,BRA,false,0.710
37,Blaz Kavcic,Slovenia,SLO,false,0.709
38,Jiri Vanek,Czech Republic,CZE,false,0.709
39,Michal Tabara,Czech Republic,CZE,false,0.707
40,Andrei Stoliarov,Russian Federation,RUS,false,0.707
41,Marcelo Filippini,Uruguay,URU,false,0.707
42,Grant Stafford,South Africa,RSA,false,0.706
43,Oscar Hernandez,Spain,ESP,false,0.704
44,Tomas Behrend,Germany,GER,false,0.703
45,Wayne Black,Zimbabwe,ZIM,false,0.701
46,Ronald Agenor,United States,USA,false,0.701
47,Fernando Vicente,Spain,ESP,false,0.700
48,Jan Kroslak,Slovakia,SVK,false,0.698
49,Jan Hernych,Czech Republic,CZE,false,0.696
50,Juan Albert Viloca Puig,Spain,ESP,false,0.696
51,Alberto Martin,Spain,ESP,false,0.696
52,Stephane Robert,France,FRA,true,0.696
53,Cristiano Caratti,Italy,ITA,false,0.696
54,Taro Daniel,Japan,JPN,true,0.695
55,Igor Kunitsyn,Russian Federation,RUS,false,0.691
56,Albert Portas,Spain,ESP,false,0.689
57,Pablo Andujar,Spain,ESP,true,0.689
